code,name,address,city,email,web_page,contact_person,phone,company_profile,total_revenue_2023,profit_before_tax,equity,total_liabilities,total_assets,market_capitalization,hv_isin,hv_total
TIKV,ГД-ТИКВЕШ АД Кавадарци,ул. Шишка бр.5,Кавадарци,gd_tikves@yahoo.com,http://gd-tikves.com,Наташа Наумова,+389 43 415 916,"Основна дејност на ГД-ТИКВЕШ АД Кавадарци е земјоделско производство. Вкупната површина на која друштвото го врши своето производство е 1042 ха. Основни производи се винско грозје на површина од 555 ха и асталско грозје на површина од 250 ха . Винското грозје е застапено со 69%, а асталското со 31%. Продажбата на своите производи ГД-ТИКВЕШ во последните неколку години ја остварува на домашниот пазар, а од другите држави продажба се остварува во Република Србија и во Белорусија. Споредни дејности се одгледување на житни култури, фуражни култури и овоштарство од кое на површина од 38 ха е застапен насад со праски.",407.149,7.054,548.547,214.469,763.016,68.000,MKTIKV101010,68.000
TKPR,Тутунски комбинат АД Прилеп,ул. Прилепски бранители бр. 85,Прилеп,tkpoffice@tkprilep.com.mk,http://www.tkprilep.com.mk,Зоран Пачешкоски,+389 48 421 670,"Тутунски Комбинат АД Прилеп е компанија која е активна во тутунската индустрија. Главна дејност на комапнијата е купување и преработка на тутун, производство на цигари, производство на филтер стапчиња, различни типови на лепила наменети за тутунската индустрија и други апликации, а исто така во нејзина сопственост е и хотел во Охрид. Производниот асортиман на компанијата нуди производи со бренд имиња вклучувајќи ги : VIP, BRAND, 19, RONDO, EVROPA, FILTER ORIENTAL and MACEDONIA. ",826.983,164.864,539.001,459.880,998.881,685.461,MKTKPR101017,2.741.845
TKVS,ВВ Тиквеш АД Кавадарци,ул. 8 Септември Бр. 5,Кавадарци,kastriot.arifi@tikves.com.mk,http://www.tikves.com.mk,Кастриот Арифи,+389 2 3175 726,"Винарска визба Тиквеш АД Скопје е компанија која работи на производство на вино. Во ТИКВЕШ годишно се преработуваат 55 милиони грозје, и се произведуваат околу 35 милиони литри вино. Нивниот асортиман опфаќа 24 видови вино, вклучувајќи црвени и бели вина, квалитетно и специјално одбрани типови вина. Вината на ТИКВЕШ се присутни на пазарите во Србија, Црна Гора, Хрватска, Босна и Херцеговина, Албанија, Европската унија, Русија, Украина, САД, Канада и Австралија.",3.157.369,236.117,2.577.982,1.903.595,4.481.576,1.650.015,MKVVTK101013,270.450
TNB,НЛБ Банка АД Скопје,ул. Водњанска бр.1,Скопје,investor_relations@nlb.mk,http://nlb.mk/,Сања Павлеска Донева,+389 2 5100 954,"НЛБ Банка АД Скопје е водечка банкарска институција во Република Македонија со постојан тренд на пораст и позитивни резултати од основањето до денес. Банката спаѓа во групата на големи банки и според вкупната нето актива е трета по големина банкарска институција во Република Македонија. Успехот на НЛБ Банка се должи на имплементацијата на висококвалитетни стандарди во работењето, модерната инфраструктура на информатичката технологија, успешната пазарна стратегија, како и на професионалниот менаџмент, зајакнати со брендот на НЛБ.",6.877.083,3.216.860,16.762.424,99.644.237,116.406.661,25.228.381,MKTNBA101019,854.061
TRDB,Трудбеник АД Охрид - долгорочно суспендирано од котација,Ул Кеј Маршал Тито ББ,Охрид,trudbenikohrid@gmail.com,http://www.trudbenikadgohrid.com,Соња Томаноска,+389 46 523 160,Основна дејност на друштвото е изградба на стамбени и нестамбени згради,0,-490,7.147,41.394,48.541,1.968,MKTRDB101012,38.490
TRPS,Патнички сообраќај Транскоп АД Битола,ул. Никола Тесла бр. 160,Битола,info@transkop.mk,http://www.transkop.mk/index.php,N/A,/,Основна дејност на друштвото е превоз на патници во земјата и странство,121.763,5.125,112.707,55.546,168.253,54.000,MKTRAN101011,30.000
TRUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKTRUB101011,70.000
TSMP,Трготекстил Малопродажба АД Скопје,ул. Луј Пастер бр.5,Скопје,vlatko_krstevski@hotmail.com,http://www.maloprodazba.com,/,+389 2 3227 259,Друштвото Трготекстил Малопродажба АД Скопје е овластено да ги врши следните активности:• Приоритетна дејност на друштвото е издавање и управување со сопствен недвижен имот или недвижен имот земен под закуп (лизинг);• Под други дејности друштвото ги обавува сите дејности евидентирани во надворешниот промет.,74.115,16.560,187.663,77.055,264.862,67.900,MKTSMP101014,700.000
TSZS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKTRGT101019,20.745
TTK,ТТК Банка АД Скопје,ул.Народен фронт бр.19 А,Скопје,ttk@ttk.com.mk,https:\\www.ttk.com.mk ,Жарко Митревски,+389 2 3247 000 лок. 456,"ТТК Банка АД Скопје делува како акционерско друштво во својство на правно лице, како резултат на спојување на Тетекс-Кредитна банка АД Скопје и Тетовска банка АД Тетово. Банката самостојно и успешно ги обавува следниве активности : Прибирање на депозити и други повратни извори на средства; Кредитирање во земјата вклучувајќи и факторинг и финансирање на комерцијални трансакции;Кредитирање во странство вклучувајќи и факторинг и финансирање на комерцијални трансакции; Издавање и администрирање на платежни средства (парични картички, чекови, патнички чекови, меници); Менувачки работи; Платен промет во земјата и странство, вклучувајќи купопродажба на девизи; Брз трансфер на пари; Издавање на платежни гаранции, авали и други форми на обезбедување; Изнајмување сефови, остава и депо; Тргување со девизни средства што вклучува и тргување со благородни материјали; Тргување со хартии од вредност; Обработка и анализа на информации за кредитна способност на правни лица; Економско –финансиски консалтинг;Други финансиски активности утврдени со закон кои може да ги врши банката; Финансиски лизинг; Тргување со инструменти на пазарот на пари; Купопродажба, гарантирање и пласман на емисија на хартии од вредност;Посредување во склучување на договори за кредити и заеми.",657.103,105.203,1.217.427,8.879.456,10.096.883,1.400.100,MKTTKS101012,1.033.173
TTKO,ТТК Банка АД Скопје,ул.Народен фронт бр.19 А,Скопје,ttk@ttk.com.mk,https:\\www.ttk.com.mk ,Жарко Митревски,+389 2 3247 000 лок. 456,"ТТК Банка АД Скопје делува како акционерско друштво во својство на правно лице, како резултат на спојување на Тетекс-Кредитна банка АД Скопје и Тетовска банка АД Тетово. Банката самостојно и успешно ги обавува следниве активности : Прибирање на депозити и други повратни извори на средства; Кредитирање во земјата вклучувајќи и факторинг и финансирање на комерцијални трансакции;Кредитирање во странство вклучувајќи и факторинг и финансирање на комерцијални трансакции; Издавање и администрирање на платежни средства (парични картички, чекови, патнички чекови, меници); Менувачки работи; Платен промет во земјата и странство, вклучувајќи купопродажба на девизи; Брз трансфер на пари; Издавање на платежни гаранции, авали и други форми на обезбедување; Изнајмување сефови, остава и депо; Тргување со девизни средства што вклучува и тргување со благородни материјали; Тргување со хартии од вредност; Обработка и анализа на информации за кредитна способност на правни лица; Економско –финансиски консалтинг;Други финансиски активности утврдени со закон кои може да ги врши банката; Финансиски лизинг; Тргување со инструменти на пазарот на пари; Купопродажба, гарантирање и пласман на емисија на хартии од вредност;Посредување во склучување на договори за кредити и заеми.",657.103,105.203,1.217.427,8.879.456,10.096.883,1.400.100,MKTTKS101012,1.033.173
UNI,УНИ Банка АД Скопје,ул. Максим Горки бр.6,Скопје,,http://www.unibank.mk,Ѕвонко Станковски,+389 2 3111 111,"Банката има дозвола за вршење на сите банкарски активности согласно Законот за банки. УниБанка спаѓа во групата средни банки заедно со уште седум други банки. По мрежата на експозитури која е прилично распространета на територијата на Р.Македонија, УниБанка учествува со околу 8% во банкарскиот сектор.",2.043.654,476.510,3.840.361,24.263.966,28.104.327,3.093.098,MKBLBA101011,545.987
USJE,Цементарница УСЈЕ АД Скопје,"ул. Борис Трајковски, 94",Скопје,contact@usje.mk,http://www.usje.com.mk/,Габриела Барлакоска,+389 2 2782 500,"Цементарница УСЈЕ АД е производител на цемент и други градежни материјали. Како членка на Групацијата ТИТАН, која е мултирегионален производител на цемент, Цементарница УСЈЕ АД е современа компанија и активен член на заедницата. Компанијата е лоцирана во Скопје, главниот град на Република Македонија. Цементарница УСЈЕ АД започна да произведува цемент во 1955 година, а денес вработува повеќе од 300 луѓе. Цементарница УСЈЕ АД е една од најголемите компании во земјата и се вбројува меѓу врвните 20 компании според профитот и резултатите.",6.279.878,1.524.549,5.249.796,1.161.764,6.411.560,17.130.577,MKUSJE101019,563.784
VARG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKVARG101016,1.384.223
VFPM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKVFPF101014,525.000
VITA,Витаминка АД Прилеп,ул. Леце Котески бр. 23,Прилеп,contact@vitaminka.com.mk,http://www.vitaminka.com.mk,Иван Стрезоски,+389 48 407407,"Витаминка АД Прилеп е компанија која работи во прехрамбената производствена индустрија. Широката палета на производи на компанијата вклучува производство на: производи за ужина, чоколадни производи, слатки, бонбони, пудинзи, сладоледи во прав, шлаг-крем, пастеризирани производи, кечап и мајонез, супи и сосови,и други додатоци за храна. Исто така нивната понуда вклучува и инстант производи, сирупи и филтер чаеви. Централата на Витаминка АД Прилеп, се наоѓа во Прилеп, Македонија.",3.446.866,99.297,1.092.871,2.101.248,3.194.119,820.904,MKVITA101012,76.720
VROS,Триглав Осигурување АД Скопје,Бул. 8-ми Септември бр.16,Скопје,info@triglav.mk,http://triglav.mk/,Иво Прличков,+389 2 5102 222,"Друштвото е регистрирано за вршење 16 класи на неживотно осигурување, со најголема концентрираност кон развојот на имотните осигурувања, осигурување на последици од незгода, патничко осигурување како и осигурување на моторни возила.",1.472.638,47.280,874.712,2.174.173,3.048.885,471.722,MKVROS101016,60.184
VSC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKVSCK101017,71.000
VTKS,Ветекс АД Велес,Ул. Вардарска бр.50,Велес,veteks@t-home.mk,https://www.veteks.mk/,Ѓоше Митев,+389 43 234455,Друштво за производство на предиво и конец,316.786,6.835,247.345,32.858,280.203,30.108,MKVTKS101018,30.048
ZAS,ЖАС АД Скопје,Ул. Перо Наков бр. 1,Скопје,zastransport@yahoo.com,/,Милан Стеваноски,+389 2 3170 068,"Основна дејност на Друштвото ЖАС АД – Скопје е товарен патен транспорт, а како споредна дејност се јавува сервисирање на товарни возила ииздавање на деловен простор.",143,-41,-48.787,49.405,618,2.527,MKZSSK101015,93.609
ZILU,Жито Лукс АД Скопје,бул. Македонско-косовска бригада бр. 44,Скопје,zitoluks@zitoluks.com.mk,http://www.zitoluks.com.mk/,Оливера Ѓуровска,+389 2 5270 110,"Жито Лукс АД Скопје е основана во 1946 година во Скопје. Како компанија со 67 годишна традиција, реномирана во производство и продажба на леб, брашно и печива, Жито Лукс е една од водечките компании на пазарот во производство на храна како и во производство на леб и брашно. Од 2001 година, Жито Лукс е членка на меѓународната групација на компании Елбиско С. А., којашто е доминантен акционер.",1.208.462,24.829,598.191,550.392,1.148.583,65.539,MKZILU101012,819.238
ZILUP,Жито Лукс АД Скопје,бул. Македонско-косовска бригада бр. 44,Скопје,zitoluks@zitoluks.com.mk,http://www.zitoluks.com.mk/,Оливера Ѓуровска,+389 2 5270 110,"Жито Лукс АД Скопје е основана во 1946 година во Скопје. Како компанија со 67 годишна традиција, реномирана во производство и продажба на леб, брашно и печива, Жито Лукс е една од водечките компании на пазарот во производство на храна како и во производство на леб и брашно. Од 2001 година, Жито Лукс е членка на меѓународната групација на компании Елбиско С. А., којашто е доминантен акционер.",1.208.462,24.829,598.191,550.392,1.148.583,65.539,MKZILU101012,819.238
ZIMS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKZIMS101015,35.000
ZKAR,Жито Караорман АД Кичево,Бул.Илинден 44,Кичево,zitokaraorman@t-home.mk,http://www.zitokaraorman.com.mk,Селаудин Арифи,+389 45 221 290,"""Жито Караорман"" АД Кичево е една од водечките фирми во млинско пекарската индустрија во Република Македонија која располага со најсовремени машини за производство на брашно, леб и бели печива",98.818,-204.175,97.956,225.559,323.515,6.874,MKKARK101013,11.177
ZPKO,ЗК Пелагонија АД Битола,ул. Новачки пат бр.11,Битола,info@zkpelagonija.mk,http://www.zkpelagonija.mk/,Петар Бакиевски,+389 47 243 612,"ЗК Пелагонија АД Битола е е водечка компанија во рамките на агробизнисот во Република Македонија. Основна наша дејност е примарно земјоделско производство од: ниски култури(пченица, јачмен, сончоглед, шеќерна репа, пченка зрно, пченка силажа и друго), одгледување на ситен и крупен добиток, сточарско производство, градинарство, рибарство и овоштарство. Во својата производна дејност вклучува производство и доработка на семенски материјал од житни, индустриски и фуражни култури.",1.401.405,514.467,4.103.837,1.921.629,6.025.466,730.408,MKZPKO101012,202.891
ZPOG,Жито Полог АД Тетово,Ул.Маршал Тито бр.134,Тетово,zitopolog@on.net.mk,http://www.zitopolog.com.mk,Славица Мишеска Стојановска,+389 44 339 880,"Основна дејност во ""Жито Полог"" АД – Тетово опфаќа производство на мелнички и пекарски производи, тестенини и јајца. Поседува сместувачки капацитети за житни култури, има сопствена малопродажна мрежа и специјализиран погон за добиточна храна за задоволување на потребите на сопствената живинарска фарма.",231.380,-23.663,431.918,106.669,538.587,126.889,MKZPOG101018,55.997
ZUAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKZUAS101013,35.000
